,Exp,Folder,Mode,Frame,MeanR,VarR,MinR,Q1R,MedR,Q3R,MaxR,SkewR,KurtR,PtsR,MeanSig,VarSig,MinSig,Q1Sig,MedSig,Q3Sig,MaxSig,SkewSig,KurtSig,PtsSig,MeanRef,VarRef,MinRef,Q1Ref,MedRef,Q3Ref,MaxRef,SkewRef,KurtRef,PtsRef,MeanIR,VarIR,MinIR,Q1IR,MedIR,Q3IR,MaxIR,SkewIR,KurtIR,PtsIR
1881,18_09_2024_2gSodium,01_Full,Degen,1881,11.986477661132813,8510.25480341344,0.0,0.0,0.0,0.0,926.0,8.201174965785816,67.7280710165408,1397,3.4349243164062497,664.4666986881197,0.0,0.0,0.0,0.0,1232.1,15.790126977892037,387.3034129510851,14560,0.41192321777343754,19.6208038817998,0.0,0.0,0.0,0.0,142.8,16.197188900420944,318.14270460841664,1416,215.1127471923828,174445.7644111785,0.0,0.0,0.0,0.0,2157.1,1.607771459515164,1.0769804470239492,14560
1882,18_09_2024_2gSodium,01_Full,Degen,1882,12.071397399902343,8592.74237418253,0.0,0.0,0.0,0.0,926.9,8.15919488709636,66.9706045284108,1392,3.4534530639648433,669.0399987575015,0.0,0.0,0.0,0.0,1233.9,15.695670723261939,382.35778699012184,14560,0.4137680053710937,19.752412218151143,0.0,0.0,0.0,0.0,142.9,16.166562867799872,316.71030294965976,1414,215.18197631835938,174567.29031601603,0.0,0.0,0.0,0.0,2154.1,1.6078401528874307,1.0769512849402672,14560
1883,18_09_2024_2gSodium,01_Full,Degen,1883,12.028578186035157,8531.09368020501,0.0,0.0,0.0,0.0,924.5,8.185466334675791,67.4911770225304,1403,3.451132202148438,667.798789306497,0.0,0.0,0.0,0.0,1218.5,15.629066539553582,377.3426526856777,14560,0.41325225830078127,19.731774908655783,0.0,0.0,0.0,0.0,142.2,16.173582973101485,316.57886726897976,1424,215.25800323486328,174666.95522098237,0.0,0.0,0.0,0.0,2140.3,1.6074763277929558,1.075483902157659,14560
1884,18_09_2024_2gSodium,01_Full,Degen,1884,11.982760620117187,8514.646502730535,0.0,0.0,0.0,0.0,926.9,8.204572263118257,67.808934220277,1399,3.4512008666992187,669.8767981795013,0.0,0.0,0.0,0.0,1230.7,15.691243907034972,380.4255684588816,14560,0.41520843505859373,19.85063311390346,0.0,0.0,0.0,0.0,142.6,16.107127195381825,314.09126013578964,1419,215.2659713745117,174700.78297489567,0.0,0.0,0.0,0.0,2141.6,1.607780998897076,1.0765157732948643,14560
1885,18_09_2024_2gSodium,01_Full,Degen,1885,12.001208496093751,8526.207515019029,0.0,0.0,0.0,0.0,926.5,8.19271838799995,67.60463375564932,1388,3.4517196655273437,669.8610401335708,0.0,0.0,0.0,0.0,1229.7,15.640555126424003,376.95925543857294,14560,0.41454772949218743,19.859855197062714,0.0,0.0,0.0,0.0,142.6,16.15168636058736,315.62518595375667,1408,215.0930191040039,174423.29285333614,0.0,0.0,0.0,0.0,2146.5,1.6079273850221925,1.077656444133405,14560
1886,18_09_2024_2gSodium,01_Full,Degen,1886,12.048104858398437,8588.378798898671,0.0,0.0,0.0,0.0,926.8,8.182609037365154,67.3527691645366,1393,3.4565399169921878,672.0197194975522,0.0,0.0,0.0,0.0,1232.4,15.665010069319344,380.14632340740803,14560,0.41568603515625,19.84573936089873,0.0,0.0,0.0,0.0,142.7,16.131885829935385,315.44720180080145,1416,215.11835174560548,174460.92626981135,0.0,0.0,0.0,0.0,2143.6,1.6077133128631873,1.076019165542303,14560
1887,18_09_2024_2gSodium,01_Full,Degen,1887,12.00638122558594,8547.935459463064,0.0,0.0,0.0,0.0,926.7,8.184167581843326,67.43223209937454,1373,3.4644622802734375,677.1724333595391,0.0,0.0,0.0,0.0,1253.8,15.78850989527621,388.97449046006847,14560,0.4163558959960938,20.04630795463687,0.0,0.0,0.0,0.0,143.8,16.16242595589308,315.79575285018905,1396,215.26462402343748,174688.88050909934,0.0,0.0,0.0,0.0,2150.8,1.6075070000684228,1.074861743105199,14560
1888,18_09_2024_2gSodium,01_Full,Degen,1888,12.051071166992188,8535.38875098883,0.0,0.0,0.0,0.0,924.4,8.177450057623144,67.38595346069238,1411,3.473123168945313,679.3656149162258,0.0,0.0,0.0,0.0,1230.5,15.705552080305514,380.52519563262933,14560,0.41845855712890623,20.16871979802615,0.0,0.0,0.0,0.0,142.7,16.121931527344973,313.8812580060324,1431,215.38778686523438,174895.1676196992,0.0,0.0,0.0,0.0,2138.9,1.6075706848615383,1.0750614568474441,14560
1889,18_09_2024_2gSodium,01_Full,Degen,1889,12.261737060546874,11957.071666440632,0.0,0.0,0.0,0.0,14944.9,43.80953495644939,5339.6439463715415,1400,3.4643356323242194,676.7366453807592,0.0,0.0,0.0,0.0,1233.2,15.732397896107212,384.12375923889795,14560,0.41801910400390624,20.06274583801395,0.0,0.0,0.0,0.0,142.9,16.083556590924818,313.0438587100578,1420,215.2096710205078,174593.39212265788,0.0,0.0,0.0,0.0,2142.6,1.6073623651391165,1.0740741816722394,14560
1890,18_09_2024_2gSodium,01_Full,Degen,1890,12.108522033691408,8630.923584143738,0.0,0.0,0.0,0.0,924.7,8.137754187376169,66.61158743036421,1383,3.4731262207031253,676.976051176451,0.0,0.0,0.0,0.0,1238.6,15.696191492270538,382.1774863423044,14560,0.41778717041015623,20.00543602745747,0.0,0.0,0.0,0.0,143.2,16.112421093279004,314.7661461761905,1404,215.14736175537112,174506.40144720225,0.0,0.0,0.0,0.0,2144.5,1.6077537532384496,1.076413544385196,14560
